Type,Species,Summary
Cat,Tabby,"A tabby is any domestic cat with a distinctive 'M' shaped marking on its forehead, stripes by its eyes and across its cheeks, along its back, and around its legs and tail, and, characteristic striped, dotted, lined, flecked, banded or swirled patterns on the body—neck, shoulders, sides, flanks, chest and abdomen."
Cat,Tiger,"Is this a cat, or a tiger?"
Cat,Tonkinese,"onkinese are a domestic cat breed produced by crossbreeding between the Siamese and Burmese. They share many of their parents' distinctively lively, playful personality traits and are similarly distinguished by a pointed coat pattern in a variety of colors."
Cat,Torbie,"Tortoiseshell is a cat coat coloring named for its similarity to tortoiseshell material. Like calicos, tortoiseshell cats are almost exclusively female. Male tortoiseshells are rare and are usually sterile."
Cat,Tortoiseshell,"Tortoiseshell is a cat coat coloring named for its similarity to tortoiseshell material. Like calicos, tortoiseshell cats are almost exclusively female. Male tortoiseshells are rare and are usually sterile."
Cat,Turkish Angora,"The Turkish Angora is a breed of domestic cat. Turkish Angoras are one of the ancient, natural breeds of cat, having originated in central Turkey, in the Ankara region. The breed has been documented as early as the 17th century and is believed to be the origin of the mutations for both the color white and long hair."
Cat,Turkish Van,"The Turkish Van is a semi-long-haired breed of domestic cat, which was developed in Turkey from a selection of cats obtained from various cities of modern Turkey, especially Southeast Turkey."
Cat,Tuxedo,"Any combination of the black-and-white pattern qualifies as a tuxedo, but generally, the body is black and the chest and paws are white. A bicolor cat or piebald cat is a cat with white fur combined with fur of some other color, for example black or tabby. There are various patterns of bicolor cat. These range from Turkish Van pattern through to solid color with a throat locket."
Cat,York Chocolate,"The York Chocolate was an uncommon American breed of show cat, with a long, fluffy coat and a tapered tail and most of them were mostly or entirely chocolate-brown or the dilute form of brown, known as lavender. The breed was named after New York state, where it was established in 1983."
Dog,American Bulldog,"The American Bulldog is a large breed of utility dog descended from the Old English Bulldog. They are now used on animal farms, dog sports, and for showing. They are part of American culture and history, and may be used as a cultural icon for the United States. They are generally represented as being strong and tough."
Dog,American Pit Bull Terrier,"The American Pit Bull Terrier is a dog breed recognized by the United Kennel Club and the American Dog Breeders Association, but not the American Kennel Club. It is a medium-sized, intelligent, short-haired dog, of a solid build, whose early ancestors came from the British Isles."
Dog,Basset Hound,"The Basset Hound is a short-legged breed of dog in the hound family. The Basset is a scent hound that was originally bred for the purpose of hunting hare. Their sense of smell and ability to ground-scent is second only to the Bloodhound. Basset Hounds are one of six recognised ""basset""-type breeds in France."
Dog,Beagle,"The beagle is a breed of small hound that is similar in appearance to the much larger foxhound. The beagle is a scent hound, developed primarily for hunting hare."
Dog,Boxer,"The Boxer is a medium to large, short-haired breed of dog, developed in Germany. The coat is smooth and tight-fitting; colors are fawn, brindled, or white, with or without white markings."
Dog,Chihuahua,"The Chihuahua is one of the smallest breeds of dog, and is named after the Mexican state of Chihuahua."
Dog,English Cocker Spaniel,"The English Cocker Spaniel is a breed of gun dog. It is noteworthy for producing one of the most varied numbers of pups in a litter among all dog breeds. The English Cocker Spaniel is an active, good-natured, sporting dog standing well up at the withers and compactly built."
Dog,English Setter,"The English Setter is a medium-size breed of dog. It is part of the setter group, which includes the red Irish Setters, Irish Red and White Setters, and black-and-tan Gordon Setters. The mainly white body coat is of medium length with long silky fringes on the back of the legs, under the belly and on the tail."
Dog,German Shorthaired,The German Shorthaired Pointer is a medium to large sized breed of dog developed in the 19th century in Germany for hunting.
Dog,Great Pyrenees,"The Pyrenean Mountain Dog is a large breed of dog used as a livestock guardian dog. It should not be confused with the Pyrenean Mastiff. As late as 1874 the breed was not completely standardized in appearance, with two major subtypes recorded, the Western and the Eastern."
Dog,Havanese,"Havanese is the national dog of Cuba, developed from the now extinct Blanquito de la Habana. The Blanquito descended from the also now-extinct Bichón Tenerife. It is believed that the Blanquito was eventually cross-bred with other bichon types, including the poodle, to create what is now known as the Havanese."
Dog,Japanese Chin,"The Japanese Chin, also known as the Japanese Spaniel, is a dog known for its strabismus of the eyes. Being both a lap dog and a companion dog, this toy breed has a distinctive heritage."
Dog,Keeshond,"The Keeshond is a medium-sized dog with a plush, two-layer coat of silver and black fur with a ruff and a curled tail. It originated in Holland, and its closest relatives are the German spitzes such as the Großspitz, Mittelspitz, Kleinspitz, Zwergspitz or Pomeranian."
Dog,Leonberger,"The Leonberger is a dog breed, whose name derives from the city of Leonberg in Baden-Württemberg, Germany. According to legend, the Leonberger was ostensibly bred as a ""symbolic dog"" that would mimic the lion in the town coat of arms."
Dog,Miniature Pinscher,"The Miniature Pinscher, also known as the Zwergpinscher, and Min Pin, is a small breed of dog of the pinscher type originating from Germany. The breed's earliest ancestors may have included the German Pinscher mixed with Italian greyhounds and dachshunds."
Dog,Newfoundland,"The Newfoundland is a large working dog. They can be either black, brown, grey, or white-and-black. However, in the Dominion of Newfoundland, before it became part of the confederation of Canada, only black and Landseer coloured dogs were considered to be proper members of the breed."
Dog,Pomeranian,"The Pomeranian is a breed of dog of the Spitz type that is named for the Pomerania region in north-west Poland and north-east Germany in Central Europe. Classed as a toy dog breed because of its small size, the Pomeranian is descended from larger Spitz-type dogs, specifically the German Spitz."
Dog,Pug,"The pug is a breed of dog with physically distinctive features of a wrinkly, short-muzzled face, and curled tail. The breed has a fine, glossy coat that comes in a variety of colours, most often light brown or black, and a compact, square body with well-developed muscles."
Dog,Saint Bernard,The St. Bernard or St Bernard is a breed of very large working dog from the Western Alps in Italy and Switzerland. They were originally bred for rescue work by the hospice of the Great St Bernard Pass on the Italian-Swiss border.
Dog,Samoyed,"The Samoyed is a breed of medium-sized herding dogs with thick, white, double-layer coats. They are related to the laika, a spitz-type dog. It takes its name from the Samoyedic peoples of Siberia. These nomadic reindeer herders bred the fluffy white dogs to help with herding."
Dog,Scottish Terrier,"The Scottish Terrier (Scottish Gaelic: Abhag Albannach; also known as the Aberdeen Terrier), popularly called the Scottie, is a breed of dog. Initially one of the highland breeds of terrier that were grouped under the name of Skye Terrier, it is one of five breeds of terrier that originated in Scotland, the other four being the modern Skye, Cairn, Dandie Dinmont, and West Highland White Terriers. They are an independent and rugged breed with a wiry outer coat and a soft dense undercoat. The First Earl of Dumbarton nicknamed the breed ""the diehard""."
Dog,Shiba Inu,"The Shiba Inu is a breed of hunting dog from Japan. A small-to-medium breed, it is the smallest of the six original and distinct spitz breeds of dog native to Japan. A small, alert and agile dog that copes very well with mountainous terrain and hiking trails, the Shiba Inu was originally bred for hunting."
Dog,Staffordshire Bull Terrier,"The Staffordshire Bull Terrier is a British breed of short-haired terrier of medium size. It originated in the city of Birmingham and in the Black Country of Staffordshire, it is the direct descendant of the Bull and terrier which was itself bred from cross-breeding the Old English Bulldog and the Old English Terrier."
Dog,Wheaten Terrier,"The Soft-coated Wheaten Terrier is a pure-breed terrier originating from Ireland. Wheatens typically have one of two coat types: Irish or Heavy. The Irish coat is generally silkier and wavier than the Heavy, or American coat, which is thicker and fuller."
Dog,Yorkshire Terrier,"The Yorkshire Terrier is one of the smallest dog breed of terrier type, and of any dog breed. The breed developed during the 19th century in Yorkshire, England. Ideally its maximum size is 7 pounds."
Flower,daisy,"Bellis perennis is a common European species of daisy, of the family Asteraceae, often considered the archetypal species of that name. Many related plants also share the name ""daisy"", so to distinguish this species from other daisies it is sometimes qualified as common daisy, lawn daisy or English daisy."
Flower,dandelion,"Taraxacum is a large genus of flowering plants in the family Asteraceae, which consists of species commonly known as dandelions."
Flower,roses,"A rose is a woody perennial flowering plant of the genus Rosa, in the family Rosaceae, or the flower it bears. There are over three hundred species and tens of thousands of cultivars. They form a group of plants that can be erect shrubs, climbing, or trailing, with stems that are often armed with sharp prickles. Flowers vary in size and shape and are usually large and showy, in colours ranging from white through yellows and reds. Most species are native to Asia, with smaller numbers native to Europe, North America, and northwestern Africa. Species, cultivars and hybrids are all widely grown for their beauty and often are fragrant. Roses have acquired cultural significance in many societies. Rose plants range in size from compact, miniature roses, to climbers that can reach seven meters in height. Different species hybridize easily, and this has been used in the development of the wide range of garden roses."
Flower,sunflowers,"Helianthus is a genus comprising about 70 species of annual and perennial flowering plants in the daisy family Asteraceae. Except for three South American species, the species of Helianthus are native to North America and Central America."
Flower,tulips,"Tulips form a genus of spring-blooming perennial herbaceous bulbiferous geophytes. The flowers are usually large, showy and brightly colored, generally red, pink, yellow, or white. They often have a different colored blotch at the base of the tepals, internally."
Horse,Akhal-Teke,"The Akhal-Teke is a Turkmen horse breed. They have a reputation for speed and endurance, intelligence, and a distinctive metallic sheen. The shiny coat of the breed led to their nickname, ""Golden Horses""."
Horse,Appaloosa,"The Appaloosa is an American horse breed best known for its colorful spotted coat pattern. There is a wide range of body types within the breed, stemming from the influence of multiple breeds of horses throughout its history."
Horse,Arabian,"The Arabian or Arab horse is a breed of horse that originated on the Arabian Peninsula. With a distinctive head shape and high tail carriage, the Arabian is one of the most easily recognizable horse breeds in the world."
Horse,Friesian,"The Friesian is a horse breed originating in Friesland, in the Netherlands. Although the conformation of the breed resembles that of a light draught horse, Friesians are graceful and nimble for their size."
Horse,Orlov Trotter,"The Orlov Trotter is a horse breed with a hereditary fast trot, noted for its outstanding speed and stamina. It is the most famous Russian horse. The breed was developed in Russia in the late 18th century by Count Alexei Orlov at his Khrenovskoy stud farm near the town of Bobrov."
Horse,Percheron,"The Percheron is a breed of draft horse that originated in the Huisne river valley in western France, part of the former Perche province from which the breed takes its name. Usually gray or black in color, Percherons are well muscled, and known for their intelligence and willingness to work."
Horse,Vladimir Heavy Draft,"The Vladimir Heavy Draft is a Russian breed of heavy draught horse. It was bred in the early twentieth century in farms and collectives in Ivanovo Oblast and Vladimir Oblast, to the east of Moscow."
General,Cat,"The cat (Felis catus) is a domestic species of small carnivorous mammal. It is the only domesticated species in the family Felidae and is often referred to as the domestic cat to distinguish it from the wild members of the family. A cat can either be a house cat, a farm cat or a feral cat; the latter ranges freely and avoids human contact. Domestic cats are valued by humans for companionship and their ability to hunt rodents. About 60 cat breeds are recognized by various cat registries."
General,Dog,"The dog is a domesticated form of wolf. The dog descended from an ancient, extinct wolf, with the modern wolf being the dog's nearest living relative. The dog was the first species to be domesticated by hunter–gatherers more than 15,000 years ago, prior to the development of agriculture."
General,Flower,"A flower, sometimes known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Magnoliophyta, also called angiosperms). The biological function of a flower is to facilitate reproduction, usually by providing a mechanism for the union of sperm with eggs. Flowers may facilitate outcrossing (fusion of sperm and eggs from different individuals in a population) resulting from cross pollination or allow selfing (fusion of sperm and egg from the same flower) when self pollination occurs."
General,Horse,"The horse is a domesticated odd-toed ungulate mammal. It belongs to the taxonomic family Equidae and is one of two extant subspecies of Equus ferus. The horse has evolved over the past 45 to 55 million years from a small multi-toed creature, Eohippus, into the larger, single-hoofed animal of today."
